YEAR,MO,DY,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M
2011,1,1,14.25,25.62,0.65,76.44
2011,1,2,14.32,24.4,0.76,78.69
2011,1,3,13.68,24.92,0.39,75.62
2011,1,4,14.6,24.26,0.82,80.06
2011,1,5,13.44,24.61,0.77,78.06
2011,1,6,14.7,23.37,8.79,83.12
2011,1,7,15.57,24.11,12.52,85.56
2011,1,8,15.33,24.61,8.38,84
2011,1,9,15.73,24.4,5.21,82.75
2011,1,10,13.85,26.02,0.47,76.12
2011,1,11,15.57,25.96,3.5,80.88
2011,1,12,15.93,25.83,3.45,80.19
2011,1,13,14.8,24.96,3.15,80.62
2011,1,14,14.72,24.17,2.56,83.06
2011,1,15,14.27,25.89,1.42,79.88
2011,1,16,15.2,25.37,10.08,84.69
2011,1,17,16.15,26.06,6.11,83.5
2011,1,18,16.11,21.96,4.4,86.25
2011,1,19,13.89,24.43,3.63,83.5
2011,1,20,15.23,21.71,11.1,89.62
2011,1,21,16,21.3,22.99,88.94
2011,1,22,15.79,23.05,29.06,87.25
2011,1,23,15.44,24.2,34.55,87.31
2011,1,24,15.08,24.34,33.3,87.44
2011,1,25,15.3,24.67,40.52,85.75
2011,1,26,16.23,22.03,43.29,91.69
2011,1,27,15.81,22.58,22.82,89.81
2011,1,28,15.85,23.15,10.24,87.31
2011,1,29,16.22,23.28,19.28,88
2011,1,30,15.17,21.9,20.16,90.81
2011,1,31,16.26,23.58,4.39,87.19
2011,2,1,14.54,25.73,2.07,77.81
2011,2,2,15.78,24.31,22.07,86.75
2011,2,3,15.35,22.7,39.56,89
2011,2,4,15.71,21.72,14.97,91.69
2011,2,5,16.58,23.1,3.35,87.38
2011,2,6,16.52,22.94,5.71,88.69
2011,2,7,15.54,23.62,4.73,87.25
2011,2,8,15.33,24.47,2.61,86.06
2011,2,9,15.98,24.41,2.2,85.88
2011,2,10,15.62,24.48,4.97,86.06
2011,2,11,15.65,25.51,6.5,83.44
2011,2,12,15.04,24.08,2.82,84.75
2011,2,13,14.69,23.33,7.5,86.06
2011,2,14,16.35,19.57,20.08,89.69
2011,2,15,17.77,21.25,35.48,93.38
2011,2,16,16.34,21.65,15.81,91.94
2011,2,17,15.66,22.71,11.8,88.75
2011,2,18,16.19,22.79,13.27,89.44
2011,2,19,15.18,22.22,2.13,86.5
2011,2,20,13.32,23.12,0.59,82.19
2011,2,21,12.44,24.68,0.62,85.25
2011,2,22,14.65,25.5,0.59,83.25
2011,2,23,14.01,25.21,5.8,83.75
2011,2,24,16.57,23.2,21.81,86.75
2011,2,25,16.27,22.53,21.57,90.88
2011,2,26,15.99,23.24,25.39,87.62
2011,2,27,16.35,24.45,13.74,87.19
2011,2,28,16.37,24.29,6.59,87.25
2011,3,1,16.53,23.26,18.39,87.94
2011,3,2,16.17,21.42,10.16,90.5
2011,3,3,15.69,23.51,2.68,85.25
2011,3,4,15.62,21.47,7.11,90.06
2011,3,5,14.92,22.47,19.24,90
2011,3,6,15.81,21.01,24.26,91.69
2011,3,7,14.88,21.3,22.19,89.69
2011,3,8,15.13,21.12,16.37,89.69
2011,3,9,15.44,22.38,17.67,88.88
2011,3,10,16.47,23.2,15.25,88.06
2011,3,11,15.25,22.32,22.92,89.94
2011,3,12,15.51,22.9,10.38,89.25
2011,3,13,14.14,21.1,1.14,90.75
2011,3,14,13.84,19.48,3.27,90.12
2011,3,15,12.8,20.58,4.12,88.69
2011,3,16,11.8,20.65,2.59,88.38
2011,3,17,14.83,21.57,37.9,90.88
2011,3,18,14.18,22.65,10.05,90.06
2011,3,19,13.73,21.52,2.62,89.38
2011,3,20,13.33,22.94,8.86,89.81
2011,3,21,13.99,23.08,2.65,87.19
2011,3,22,14.22,24.86,2.7,84.69
2011,3,23,15.87,24.19,7.47,89.5
2011,3,24,14.81,24.04,4.01,87.12
2011,3,25,15.88,23.33,2.44,87
2011,3,26,14.32,19.6,1.07,90.19
2011,3,27,13.26,22.78,0.53,86.94
2011,3,28,13.43,22.98,2.07,88.75
2011,3,29,14.54,23.37,6.94,88.5
2011,3,30,15.85,21.57,27.56,90.75
2011,3,31,16.2,22.18,15.03,91.69
2011,4,1,15.57,23.25,2.85,89.81
2011,4,2,15.75,22.96,1.22,88.88
2011,4,3,14.12,23.57,1.69,88.56
2011,4,4,13.94,22.35,0.81,85.56
2011,4,5,14.73,22.73,2.53,89.38
2011,4,6,14.41,21.67,2.02,89.31
2011,4,7,14.27,21.74,1.39,89.5
2011,4,8,14.38,23.08,1.53,89.56
