Week,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,4,0,4,0,0,0,0,0,0,0,11,7
2,0,0,11,0,0,0,0,2,0,0,4,
3,1,0,4,0,0,0,2,1,1,,5,3
4,3,0,3,0,1,1,1,0,0,,12,
5,3,0,6,5,0,1,0,0,0,3,11,2
6,3,0,15,3,3,4,1,0,2,,16,7
7,4,1,21,9,2,1,0,0,0,2,9,10
8,10,0,14,3,0,5,0,12,13,5,7,4
9,2,0,20,9,6,5,0,9,11,11,7,14
10,10,0,15,4,9,19,2,4,8,11,16,30
11,8,0,16,5,7,7,1,5,10,10,9,14
12,2,2,6,3,3,10,5,0,0,13,6,15
13,0,0,8,0,4,4,0,2,10,23,4,45
14,2,1,4,1,4,2,7,0,5,3,1,60
15,3,2,3,2,4,5,7,0,5,1,,15
16,3,5,4,2,3,1,0,0,0,4,1,12
17,0,2,0,0,0,2,5,0,1,,,20
18,0,5,0,0,0,1,1,0,0,17,3,11
19,1,1,0,0,1,1,3,0,1,7,,11
20,0,3,0,0,0,0,2,0,0,2,,10
21,0,8,0,0,1,0,2,0,1,,,11
22,0,7,0,0,0,0,0,0,1,3,,3
23,0,5,0,0,1,0,0,0,0,0,,
24,0,12,0,0,2,0,1,0,0,0,1,
25,0,10,0,0,0,0,0,0,0,0,,
26,0,9,0,0,1,0,0,0,0,0,,
27,0,17,0,0,0,0,0,0,0,0,,
28,0,6,0,0,1,0,1,0,0,0,1,
29,0,7,0,0,0,0,0,0,0,0,0,
30,0,12,0,0,0,0,0,0,0,0,0,
31,0,6,0,0,0,0,0,0,0,0,0,
32,0,6,0,0,1,0,0,0,0,0,0,
33,0,3,0,0,0,0,0,0,0,0,0,
34,0,0,0,0,0,0,0,0,0,0,0,
35,0,2,0,0,0,0,0,0,0,1,0,
36,0,1,0,0,0,0,0,0,0,0,0,
37,0,0,0,0,0,0,1,0,0,0,1,
38,0,1,0,0,0,0,1,0,0,0,0,
39,0,1,0,0,0,0,0,0,0,0,0,
40,0,1,0,0,0,0,0,0,0,0,0,
41,0,1,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,
43,0,0,0,0,0,0,0,0,0,2,0,
44,0,0,0,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,0,0,0,0,
46,0,3,0,0,0,0,0,0,0,0,0,
47,0,0,0,0,0,0,0,0,0,0,0,
48,0,0,0,0,0,0,0,0,0,1,0,
49,0,0,0,0,0,0,0,0,0,0,0,
50,0,1,0,0,0,0,0,0,0,4,1,
51,0,2,0,0,0,0,0,0,0,7,2,
52,0,0,0,0,0,0,0,0,0,12,4,0
