"hyp","npar","neg_llik","AIC","convergence"
0,1,5075,10152.01,"yes"
1,2,392.55,789.1,"yes"
2,2,289.19,582.38,"yes"
3,2,238.84,481.68,"yes"
4,2,285.67,575.33,"yes"
5,2,612.47,1228.93,"yes"
6,2,1059.39,2122.78,"yes"
7,3,269.71,545.41,"no"
8,4,230.41,468.81,"yes"
9,5,220.37,450.73,"yes"
10,6,220.15,452.3,"yes"
11,6,215.45,442.91,"yes"
12,14,171.02,370.04,"no"
13,13,171.26,368.51,"yes"
14,12,174.79,373.58,"yes"
15,12,171.27,366.54,"yes"
16,11,171.28,364.56,"yes"
17,10,172.29,364.58,"yes"
18,9,176.76,371.51,"yes"
19,9,173.48,364.96,"yes"
20,8,176.04,368.07,"yes"
21,9,174.8,367.6,"yes"
22,9,172.29,362.58,"yes"
23,10,172.26,364.51,"yes"
24,9,172.7,363.39,"yes"
25,9,172.19,362.38,"yes"
26,9,172.81,363.61,"yes"
27,91,167.22,516.45,"no"
