"hyp","npar","neg_llik","AIC","convergence"
1,2,368.062271931573,740.124543863147,"yes"
2,2,278.410733432971,560.821466865941,"yes"
3,2,235.218975930134,474.437951860268,"yes"
4,2,264.509474759427,533.018949518854,"yes"
5,2,444.600360487217,893.200720974434,"yes"
6,3,261.169522618674,528.339045237348,"yes"
7,4,221.869303915238,451.738607830476,"yes"
8,5,211.82912661292,433.65825322584,"yes"
9,6,211.616095210879,435.232190421757,"yes"
10,13,167.362876614217,360.725753228433,"yes"
11,12,167.635962635498,359.271925270995,"yes"
12,11,171.16724490972,364.334489819441,"yes"
13,11,167.647141804568,357.294283609136,"yes"
14,10,167.658887578919,355.317775157839,"no"
15,9,168.670732643248,355.341465286497,"yes"
16,8,173.136488947353,362.272977894707,"no"
17,8,169.860194469481,355.720388938961,"yes"
18,7,172.415294445507,358.830588891015,"yes"
19,8,171.270929653642,358.541859307285,"yes"
20,8,168.671562748374,353.343125496748,"yes"
21,9,168.632913364126,355.265826728253,"yes"
22,8,169.07547920738,354.15095841476,"yes"
23,8,168.571031154762,353.142062309525,"yes"
24,8,169.182575095786,354.365150191572,"yes"
25,90,163.591546857636,507.183093715273,"no"
